;;---------- ВОЖДЕНИЕ АВТО ----------
Значение;Дата;Название
"⁦‎09:‎45⁩ - ⁦‎15:‎40⁩";"15 июл. 2021 г.";""
"⁦‎15:‎41⁩ - ⁦‎18:‎31⁩";"14 июл. 2021 г.";""
"⁦‎10:‎03⁩ - ⁦‎15:‎40⁩";"14 июл. 2021 г.";""
"⁦‎14:‎30⁩ - ⁦‎18:‎56⁩";"13 июл. 2021 г.";""
"⁦‎12:‎17⁩ - ⁦‎13:‎15⁩";"13 июл. 2021 г.";""
"⁦‎10:‎41⁩ - ⁦‎10:‎52⁩";"13 июл. 2021 г.";""
"⁦‎12:‎32⁩ - ⁦‎13:‎14⁩";"12 июл. 2021 г.";""
"⁦‎12:‎00⁩ - ⁦‎12:‎32⁩";"12 июл. 2021 г.";""
"⁦‎14:‎24⁩ - ⁦‎16:‎46⁩";"7 июл. 2021 г.";""
"⁦‎11:‎56⁩ - ⁦‎13:‎01⁩";"7 июл. 2021 г.";""
"⁦‎16:‎45⁩ - ⁦‎18:‎14⁩";"6 июл. 2021 г.";""
"⁦‎12:‎53⁩ - ⁦‎14:‎12⁩";"6 июл. 2021 г.";""
"⁦‎12:‎10⁩ - ⁦‎12:‎12⁩";"6 июл. 2021 г.";""
"⁦‎10:‎36⁩ - ⁦‎11:‎35⁩";"6 июл. 2021 г.";""
"⁦‎14:‎41⁩ - ⁦‎17:‎52⁩";"2 июл. 2021 г.";""
"⁦‎12:‎00⁩ - ⁦‎13:‎25⁩";"2 июл. 2021 г.";"Ста"
"⁦‎14:‎43⁩ - ⁦‎18:‎25⁩";"1 июл. 2021 г.";""
"‪⁨‎1с⁩‬‬‎, к ⁦‎11:‎24⁩";"1 июл. 2021 г.";""
"⁦‎17:‎42⁩ - ⁦‎18:‎12⁩";"30 июн. 2021 г.";""
"⁦‎10:‎39⁩ - ⁦‎16:‎23⁩";"30 июн. 2021 г.";""
"⁦‎16:‎37⁩ - ⁦‎18:‎15⁩";"28 июн. 2021 г.";""
"⁦‎15:‎06⁩ - ⁦‎16:‎07⁩";"28 июн. 2021 г.";""
"⁦‎12:‎55⁩ - ⁦‎15:‎53⁩";"25 июн. 2021 г.";""
"⁦‎15:‎03⁩ - ⁦‎17:‎07⁩";"24 июн. 2021 г.";""
"⁦‎16:‎32⁩ - ⁦‎18:‎20⁩";"23 июн. 2021 г.";""
"⁦‎11:‎46⁩ - ⁦‎14:‎12⁩";"23 июн. 2021 г.";""
"⁦‎11:‎20⁩ - ⁦‎11:‎46⁩";"23 июн. 2021 г.";""
"⁦‎14:‎45⁩ - ⁦‎19:‎48⁩";"22 июн. 2021 г.";""
"⁦‎12:‎18⁩ - ⁦‎13:‎45⁩";"22 июн. 2021 г.";""
"⁦‎15:‎45⁩ - ⁦‎17:‎42⁩";"21 июн. 2021 г.";""
"‪⁨‎15м⁩ ⁨‎6с⁩‬‬‎, к ⁦‎14:‎57⁩";"21 июн. 2021 г.";""
"‪⁨‎1с⁩‬‬‎, к ⁦‎13:‎21⁩";"21 июн. 2021 г.";""
"⁦‎10:‎19⁩ - ⁦‎13:‎16⁩";"21 июн. 2021 г.";""
;;---------- Дорога на работу / обратно  ----------
Значение;Дата;Название
"⁦‎18:‎25⁩ - ⁦‎19:‎11⁩";"16 июл. 2021 г.";""
"⁦‎18:‎00⁩ - ⁦‎18:‎25⁩";"16 июл. 2021 г.";""
"⁦‎09:‎00⁩ - ⁦‎10:‎00⁩";"16 июл. 2021 г.";""
"⁦‎18:‎35⁩ - ⁦‎19:‎11⁩";"15 июл. 2021 г.";""
"⁦‎18:‎32⁩ - ⁦‎19:‎13⁩";"14 июл. 2021 г.";""
"⁦‎09:‎29⁩ - ⁦‎10:‎02⁩";"14 июл. 2021 г.";""
"⁦‎18:‎57⁩ - ⁦‎19:‎25⁩";"13 июл. 2021 г.";""
"⁦‎09:‎15⁩ - ⁦‎10:‎15⁩";"13 июл. 2021 г.";""
"⁦‎09:‎00⁩ - ⁦‎10:‎00⁩";"5 июл. 2021 г.";""
"⁦‎09:‎55⁩ - ⁦‎10:‎16⁩";"2 июл. 2021 г.";""
"⁦‎09:‎30⁩ - ⁦‎09:‎55⁩";"2 июл. 2021 г.";""
"⁦‎09:‎34⁩ - ⁦‎10:‎08⁩";"1 июл. 2021 г.";""
"⁦‎09:‎25⁩ - ⁦‎10:‎07⁩";"30 июн. 2021 г.";""
"⁦‎18:‎33⁩ - ⁦‎19:‎28⁩";"29 июн. 2021 г.";""
"⁦‎09:‎30⁩ - ⁦‎10:‎33⁩";"29 июн. 2021 г.";""
"⁦‎20:‎00⁩ - ⁦‎21:‎00⁩";"28 июн. 2021 г.";""
"⁦‎08:‎30⁩ - ⁦‎09:‎30⁩";"28 июн. 2021 г.";""
